               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.047769,           0.0051904,           0.0015718,              0.6131,             0.67054,             0.64356,             0.30201,             0.04324,            0.021818,           0.0019628,           0.0099772,           0.0099772,           0.0099772
                  36,            0.047627,           0.0051364,           0.0015351,             0.68069,             0.62946,             0.66701,             0.33203,            0.042932,            0.021802,           0.0017816,           0.0099758,           0.0099758,           0.0099758
                  37,            0.047833,           0.0048432,            0.001548,              0.6727,              0.6725,             0.69732,             0.36834,            0.043084,            0.021622,           0.0017098,           0.0099744,           0.0099744,           0.0099744
                  38,            0.048391,           0.0049994,            0.001984,             0.74485,             0.66088,             0.71286,              0.3653,            0.042718,            0.021634,           0.0017173,            0.009973,            0.009973,            0.009973
                  39,            0.048007,           0.0050458,           0.0020171,             0.65187,               0.645,             0.65002,             0.33395,            0.042197,            0.021581,           0.0019581,           0.0099715,           0.0099715,           0.0099715
                  40,            0.046893,           0.0049314,           0.0017097,             0.69353,             0.67295,             0.70267,              0.3785,             0.04206,            0.021458,           0.0022395,             0.00997,             0.00997,             0.00997
                  41,            0.047704,            0.005125,           0.0016609,             0.64665,             0.71852,             0.68607,             0.35615,            0.041957,            0.021233,           0.0017488,           0.0099685,           0.0099685,           0.0099685
                  42,            0.047665,           0.0050801,           0.0016109,             0.61821,             0.75135,             0.67831,             0.37185,            0.042406,            0.021714,           0.0019383,           0.0099669,           0.0099669,           0.0099669
                  43,            0.047689,            0.005133,           0.0016187,             0.64822,              0.7221,             0.68648,             0.34517,            0.041691,            0.020986,           0.0018975,           0.0099652,           0.0099652,           0.0099652
                  44,            0.046365,           0.0048021,           0.0014161,             0.63248,             0.73058,             0.71258,             0.39734,            0.041401,            0.021281,           0.0030213,           0.0099636,           0.0099636,           0.0099636
                  45,            0.045868,           0.0048619,           0.0014409,             0.70152,             0.68326,             0.70801,              0.3888,            0.041126,            0.021099,           0.0039787,           0.0099618,           0.0099618,           0.0099618
                  46,            0.045935,           0.0049983,           0.0013536,               0.724,             0.68517,              0.7242,             0.41065,            0.040743,            0.020696,           0.0018187,           0.0099601,           0.0099601,           0.0099601
                  47,            0.047129,           0.0049464,           0.0018909,             0.70724,             0.70803,             0.73213,             0.42392,            0.040949,            0.020661,           0.0017667,           0.0099583,           0.0099583,           0.0099583
                  48,            0.046026,           0.0049452,           0.0014875,             0.69622,             0.68083,             0.72258,             0.40225,            0.041019,            0.020732,           0.0019013,           0.0099565,           0.0099565,           0.0099565
                  49,            0.045243,           0.0048799,           0.0015576,              0.6727,             0.73635,             0.71271,             0.40036,            0.040861,            0.020603,           0.0018789,           0.0099546,           0.0099546,           0.0099546
                  50,            0.044923,           0.0048433,           0.0012665,             0.71612,             0.70854,             0.73342,             0.41021,            0.040506,            0.020538,           0.0018166,           0.0099527,           0.0099527,           0.0099527
                  51,            0.047539,           0.0051106,           0.0016797,             0.69107,             0.73433,             0.73228,             0.40605,             0.04039,            0.020739,           0.0018598,           0.0099508,           0.0099508,           0.0099508
                  52,            0.047214,           0.0049769,           0.0016668,             0.73146,             0.68648,             0.73106,             0.41993,            0.040734,            0.020837,           0.0018724,           0.0099488,           0.0099488,           0.0099488
                  53,            0.046453,           0.0049429,           0.0011918,             0.67686,             0.71496,             0.71196,             0.39039,            0.040663,            0.020847,           0.0018529,           0.0099467,           0.0099467,           0.0099467
                  54,            0.046033,            0.004894,           0.0012581,             0.70324,             0.68519,             0.71421,             0.39798,            0.040566,            0.020799,           0.0018717,           0.0099447,           0.0099447,           0.0099447
                  55,            0.046012,           0.0047886,           0.0014359,             0.69099,             0.72343,             0.72939,             0.41847,            0.040231,            0.020496,           0.0019068,           0.0099426,           0.0099426,           0.0099426
                  56,            0.045064,           0.0047659,           0.0013826,             0.70682,             0.72267,              0.7409,             0.43239,            0.040047,            0.020381,           0.0018955,           0.0099404,           0.0099404,           0.0099404
                  57,            0.048012,           0.0049195,           0.0016539,             0.74959,             0.70784,             0.75115,             0.42945,            0.040025,            0.020508,           0.0018762,           0.0099383,           0.0099383,           0.0099383
                  58,            0.046481,           0.0050112,           0.0015199,             0.72745,             0.73777,             0.75158,             0.42873,            0.040072,             0.02046,           0.0018711,            0.009936,            0.009936,            0.009936
                  59,            0.045227,           0.0049351,           0.0016626,             0.76049,             0.67956,              0.7469,             0.42551,            0.039976,            0.020442,           0.0018725,           0.0099338,           0.0099338,           0.0099338
                  60,            0.044671,           0.0047199,           0.0014749,             0.73487,             0.73893,             0.75154,             0.41841,            0.039799,            0.020355,           0.0018835,           0.0099315,           0.0099315,           0.0099315
                  61,            0.044142,           0.0047296,            0.001404,             0.74419,             0.74524,             0.76014,             0.43581,            0.039714,            0.020209,           0.0018924,           0.0099291,           0.0099291,           0.0099291
